Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/602.gcc_s-2226B.champsimtrace.xz,Memory-Bound,0.2976,0.235,136.1661,2.4755
traces/605.mcf_s-782B.champsimtrace.xz,Memory-Bound,0.0862,0.2496,59.294,2.0848
traces/429.mcf-184B.champsimtrace.xz,Memory-Bound,0.2598,0.2975,58.3633,1.8259
traces/605.mcf_s-484B.champsimtrace.xz,Memory-Bound,0.3145,0.2305,27.1831,3.1065
traces/619.lbm_s-3766B.champsimtrace.xz,Memory-Bound,0.6677,0.3104,24.2074,11.7195
traces/619.lbm_s-2677B.champsimtrace.xz,Memory-Bound,0.7077,0.3331,21.2399,10.6912
traces/619.lbm_s-2676B.champsimtrace.xz,Memory-Bound,0.7067,0.335,21.1052,10.5627
traces/605.mcf_s-1152B.champsimtrace.xz,Memory-Bound,0.2003,0.266,20.8104,1.6908
traces/603.bwaves_s-891B.champsimtrace.xz,Memory-Bound,0.5053,0.3068,20.3551,5.1938
traces/619.lbm_s-4268B.champsimtrace.xz,Memory-Bound,0.7209,0.3429,20.1863,10.2244
traces/603.bwaves_s-1740B.champsimtrace.xz,Memory-Bound,0.621,0.293,18.0722,3.6314
traces/603.bwaves_s-2609B.champsimtrace.xz,Memory-Bound,0.621,0.293,18.0714,3.6297
traces/602.gcc_s-1850B.champsimtrace.xz,Memory-Bound,0.282,0.3559,17.8291,2.8045
traces/649.fotonik3d_s-10881B.champsimtrace.xz,Memory-Bound,0.4068,0.2163,14.2135,1.981
traces/649.fotonik3d_s-7084B.champsimtrace.xz,Memory-Bound,0.4197,0.2641,14.2095,2.091
traces/605.mcf_s-1536B.champsimtrace.xz,Memory-Bound,0.3817,0.2642,14.0543,4.8951
traces/603.bwaves_s-2931B.champsimtrace.xz,Memory-Bound,0.621,0.3232,13.1177,3.8531
traces/605.mcf_s-1644B.champsimtrace.xz,Memory-Bound,0.4985,0.2462,12.0149,4.2668
traces/654.roms_s-1390B.champsimtrace.xz,Memory-Bound,0.4677,0.2494,11.3575,5.1138
traces/605.mcf_s-665B.champsimtrace.xz,Memory-Bound,0.3017,0.2715,10.0272,1.2608
traces/605.mcf_s-994B.champsimtrace.xz,Memory-Bound,0.4186,0.2993,9.0958,1.4289
traces/654.roms_s-293B.champsimtrace.xz,Memory-Bound,0.5288,0.2787,8.9942,4.0126
traces/649.fotonik3d_s-8225B.champsimtrace.xz,Memory-Bound,0.3049,0.2639,8.7865,3.9479
traces/649.fotonik3d_s-1176B.champsimtrace.xz,Memory-Bound,0.3135,0.2617,8.7699,4.3242
traces/605.mcf_s-472B.champsimtrace.xz,Memory-Bound,0.4025,0.2092,7.7517,2.4301
traces/654.roms_s-1070B.champsimtrace.xz,Memory-Bound,0.5467,0.2965,7.5389,3.1907
traces/654.roms_s-523B.champsimtrace.xz,Memory-Bound,0.5319,0.2575,6.7195,4.976
traces/654.roms_s-1613B.champsimtrace.xz,Memory-Bound,0.6093,0.338,4.8315,3.4322
traces/607.cactuBSSN_s-2421B.champsimtrace.xz,Memory-Bound,0.8635,0.3004,4.2808,2.8851
traces/654.roms_s-842B.champsimtrace.xz,Memory-Bound,0.7456,0.3835,3.2117,2.8057
traces/654.roms_s-1007B.champsimtrace.xz,Memory-Bound,0.6588,0.2701,3.0253,0.8923
traces/654.roms_s-294B.champsimtrace.xz,Memory-Bound,0.8852,0.3653,2.7998,0.871
traces/628.pop2_s-17B.champsimtrace.xz,Compute-Bound,1.2141,0.4339,1.6442,2.7172
traces/627.cam4_s-490B.champsimtrace.xz,Compute-Bound,1.065,0.3972,1.5644,3.1517
traces/607.cactuBSSN_s-4004B.champsimtrace.xz,Compute-Bound,0.9546,0.2807,1.2467,1.274
traces/607.cactuBSSN_s-3477B.champsimtrace.xz,Compute-Bound,0.9462,0.2826,1.2338,1.3008
traces/605.mcf_s-1554B.champsimtrace.xz,Compute-Bound,0.4308,0.2419,1.0631,4.6111
traces/621.wrf_s-8100B.champsimtrace.xz,Compute-Bound,1.0291,0.4049,0.9023,1.436
traces/621.wrf_s-575B.champsimtrace.xz,Compute-Bound,1.0022,0.354,0.8672,1.644
traces/644.nab_s-12521B.champsimtrace.xz,Compute-Bound,1.1006,0.3857,0.7419,0.5224
traces/607.cactuBSSN_s-4248B.champsimtrace.xz,Compute-Bound,1.632,0.6605,0.7009,0.2532
traces/644.nab_s-9322B.champsimtrace.xz,Compute-Bound,1.0202,0.3829,0.6669,0.3518
traces/623.xalancbmk_s-592B.champsimtrace.xz,Compute-Bound,1.0403,0.2743,0.6577,2.5014
traces/644.nab_s-7928B.champsimtrace.xz,Compute-Bound,1.1163,0.3831,0.4688,0.361
traces/621.wrf_s-8065B.champsimtrace.xz,Compute-Bound,1.0536,0.4111,0.4518,1.1758
traces/625.x264_s-18B.champsimtrace.xz,Compute-Bound,1.5699,0.4488,0.4316,0.8142
traces/657.xz_s-56B.champsimtrace.xz,Compute-Bound,1.961,1.1647,0.4192,3.2668
traces/625.x264_s-33B.champsimtrace.xz,Compute-Bound,1.5708,0.4496,0.406,0.7103
traces/657.xz_s-4994B.champsimtrace.xz,Compute-Bound,1.3943,0.6742,0.3872,0.6428
traces/621.wrf_s-6673B.champsimtrace.xz,Compute-Bound,1.0665,0.4231,0.3726,0.9191
traces/657.xz_s-3167B.champsimtrace.xz,Compute-Bound,1.3428,0.431,0.3681,0.3675
traces/623.xalancbmk_s-325B.champsimtrace.xz,Compute-Bound,1.0372,0.2896,0.3457,1.4297
traces/625.x264_s-39B.champsimtrace.xz,Compute-Bound,1.5521,0.448,0.3404,0.6439
traces/625.x264_s-12B.champsimtrace.xz,Compute-Bound,1.583,0.4491,0.3378,0.5867
traces/620.omnetpp_s-141B.champsimtrace.xz,Compute-Bound,0.6535,0.2819,0.3212,0.8562
traces/603.bwaves_s-1080B.champsimtrace.xz,Compute-Bound,1.7643,0.445,0.3204,0.7942
traces/631.deepsjeng_s-928B.champsimtrace.xz,Compute-Bound,1.1548,0.3848,0.3162,0.2072
traces/657.xz_s-2302B.champsimtrace.xz,Compute-Bound,1.198,0.43,0.307,0.3941
traces/625.x264_s-20B.champsimtrace.xz,Compute-Bound,1.6039,0.4494,0.2642,0.5186
traces/638.imagick_s-824B.champsimtrace.xz,Compute-Bound,1.4779,0.6228,0.2085,0.2189
traces/644.nab_s-5853B.champsimtrace.xz,Compute-Bound,0.91,0.3464,0.1935,0.1068
traces/620.omnetpp_s-874B.champsimtrace.xz,Compute-Bound,0.6854,0.2817,0.1843,0.8084
traces/603.bwaves_s-3699B.champsimtrace.xz,Compute-Bound,1.9824,0.4541,0.1592,0.4269
traces/623.xalancbmk_s-700B.champsimtrace.xz,Compute-Bound,0.952,0.3006,0.1558,1.1217
traces/602.gcc_s-2375B.champsimtrace.xz,Compute-Bound,0.9951,0.368,0.1507,0.2388
traces/644.nab_s-12459B.champsimtrace.xz,Compute-Bound,1.4848,0.4071,0.1449,0.2743
traces/602.gcc_s-734B.champsimtrace.xz,Compute-Bound,1.0984,0.3923,0.1413,1.6407
traces/603.bwaves_s-5359B.champsimtrace.xz,Compute-Bound,2.0295,0.4525,0.1283,0.3584
traces/623.xalancbmk_s-10B.champsimtrace.xz,Compute-Bound,0.7205,0.3514,0.1038,2.2067
traces/641.leela_s-1083B.champsimtrace.xz,Compute-Bound,1.059,0.3669,0.0584,0.1325
traces/641.leela_s-1052B.champsimtrace.xz,Compute-Bound,1.0725,0.3654,0.0548,0.1289
traces/649.fotonik3d_s-1B.champsimtrace.xz,Compute-Bound,1.4305,0.4092,0.0514,0.0198
traces/600.perlbench_s-210B.champsimtrace.xz,Compute-Bound,1.1433,0.3457,0.0507,0.0802
traces/600.perlbench_s-1273B.champsimtrace.xz,Compute-Bound,1.1627,0.3463,0.0458,0.0624
traces/641.leela_s-862B.champsimtrace.xz,Compute-Bound,1.1081,0.3748,0.0433,0.0525
traces/627.cam4_s-573B.champsimtrace.xz,Compute-Bound,1.5756,0.4835,0.0433,1.6633
traces/638.imagick_s-10316B.champsimtrace.xz,Compute-Bound,2.6504,0.6511,0.0391,0.8274
traces/623.xalancbmk_s-165B.champsimtrace.xz,Compute-Bound,1.1733,0.3848,0.031,1.2109
traces/623.xalancbmk_s-202B.champsimtrace.xz,Compute-Bound,1.0086,0.3621,0.0294,2.4513
traces/638.imagick_s-4128B.champsimtrace.xz,Compute-Bound,1.4238,0.3834,0.0237,0.0164
traces/641.leela_s-334B.champsimtrace.xz,Compute-Bound,1.0878,0.371,0.017,0.0754
traces/654.roms_s-1021B.champsimtrace.xz,Compute-Bound,1.9909,0.5231,0.0138,0.0109
traces/641.leela_s-800B.champsimtrace.xz,Compute-Bound,1.126,0.3786,0.0054,0.0469
traces/600.perlbench_s-570B.champsimtrace.xz,Compute-Bound,1.1549,0.3453,0.005,0.0631
traces/641.leela_s-602B.champsimtrace.xz,Compute-Bound,1.0903,0.3773,0.0033,0.0409
traces/641.leela_s-149B.champsimtrace.xz,Compute-Bound,1.1107,0.3858,0.0027,0.0419
