Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/605.mcf_s-782B.champsimtrace.xz,Compute-Bound,0.0913,0.3203,0.0,1.2643
traces/605.mcf_s-1152B.champsimtrace.xz,Compute-Bound,0.2026,0.2911,0.0,1.1301
traces/605.mcf_s-1554B.champsimtrace.xz,Compute-Bound,0.2725,0.241,0.0,4.0298
traces/605.mcf_s-1536B.champsimtrace.xz,Compute-Bound,0.2824,0.2679,0.0,4.1797
traces/605.mcf_s-665B.champsimtrace.xz,Compute-Bound,0.2847,0.2844,0.0,0.9345
traces/605.mcf_s-994B.champsimtrace.xz,Compute-Bound,0.3534,0.2999,0.0,1.7573
traces/620.omnetpp_s-141B.champsimtrace.xz,Compute-Bound,0.3982,0.2823,0.0,1.4021
traces/605.mcf_s-472B.champsimtrace.xz,Compute-Bound,0.3992,0.2096,0.0,2.2944
traces/620.omnetpp_s-874B.champsimtrace.xz,Compute-Bound,0.4268,0.2819,0.0,1.3723
traces/605.mcf_s-484B.champsimtrace.xz,Compute-Bound,0.4324,0.2307,0.0,2.2782
traces/623.xalancbmk_s-10B.champsimtrace.xz,Compute-Bound,0.4367,0.3535,0.0,3.2768
traces/602.gcc_s-2226B.champsimtrace.xz,Compute-Bound,0.4425,0.2461,0.0,2.008
traces/605.mcf_s-1644B.champsimtrace.xz,Compute-Bound,0.5512,0.252,0.0,3.7533
traces/619.lbm_s-3766B.champsimtrace.xz,Compute-Bound,0.5667,0.3143,0.0,14.4405
traces/649.fotonik3d_s-1176B.champsimtrace.xz,Compute-Bound,0.6003,0.2745,0.0,2.1435
traces/649.fotonik3d_s-8225B.champsimtrace.xz,Compute-Bound,0.6026,0.2737,0.0,2.1163
traces/619.lbm_s-2677B.champsimtrace.xz,Compute-Bound,0.6204,0.3366,0.0,13.4531
traces/619.lbm_s-2676B.champsimtrace.xz,Compute-Bound,0.6246,0.3391,0.0,13.2685
traces/619.lbm_s-4268B.champsimtrace.xz,Compute-Bound,0.6437,0.3467,0.0,12.9209
traces/649.fotonik3d_s-10881B.champsimtrace.xz,Compute-Bound,0.6938,0.2174,0.0,0.6631
traces/654.roms_s-1390B.champsimtrace.xz,Compute-Bound,0.6953,0.2556,0.0,3.6861
traces/654.roms_s-523B.champsimtrace.xz,Compute-Bound,0.7339,0.2638,0.0,3.8122
traces/649.fotonik3d_s-7084B.champsimtrace.xz,Compute-Bound,0.7676,0.2659,0.0,0.831
traces/654.roms_s-1613B.champsimtrace.xz,Compute-Bound,0.8029,0.3361,0.0,4.689
traces/654.roms_s-1070B.champsimtrace.xz,Compute-Bound,0.8466,0.299,0.0,3.1971
traces/654.roms_s-1007B.champsimtrace.xz,Compute-Bound,0.8652,0.2704,0.0,0.603
traces/603.bwaves_s-2609B.champsimtrace.xz,Compute-Bound,0.8862,0.2943,0.0,1.3156
traces/603.bwaves_s-1740B.champsimtrace.xz,Compute-Bound,0.8864,0.2943,0.0,1.3155
traces/654.roms_s-293B.champsimtrace.xz,Compute-Bound,0.8867,0.2857,0.0,2.7265
traces/603.bwaves_s-891B.champsimtrace.xz,Compute-Bound,0.8913,0.3124,0.0,1.8029
traces/623.xalancbmk_s-700B.champsimtrace.xz,Compute-Bound,0.908,0.3005,0.0,1.6446
traces/654.roms_s-842B.champsimtrace.xz,Compute-Bound,0.9291,0.3818,0.0,3.5903
traces/657.xz_s-2302B.champsimtrace.xz,Compute-Bound,0.932,0.4302,0.0,0.7296
traces/644.nab_s-5853B.champsimtrace.xz,Compute-Bound,0.9373,0.3465,0.0,0.0525
traces/602.gcc_s-2375B.champsimtrace.xz,Compute-Bound,0.9506,0.3682,0.0,0.3246
traces/621.wrf_s-575B.champsimtrace.xz,Compute-Bound,0.9511,0.3581,0.0,1.8913
traces/627.cam4_s-490B.champsimtrace.xz,Compute-Bound,0.9831,0.3941,0.0,4.9943
traces/602.gcc_s-1850B.champsimtrace.xz,Compute-Bound,0.9861,0.3818,0.0,1.056
traces/623.xalancbmk_s-592B.champsimtrace.xz,Compute-Bound,0.9988,0.2742,0.0,3.4745
traces/607.cactuBSSN_s-3477B.champsimtrace.xz,Compute-Bound,1.0002,0.2824,0.0,1.0258
traces/623.xalancbmk_s-325B.champsimtrace.xz,Compute-Bound,1.001,0.2894,0.0,2.1938
traces/621.wrf_s-8065B.champsimtrace.xz,Compute-Bound,1.0069,0.4152,0.0,1.4108
traces/607.cactuBSSN_s-4004B.champsimtrace.xz,Compute-Bound,1.0096,0.2807,0.0,1.0412
traces/621.wrf_s-8100B.champsimtrace.xz,Compute-Bound,1.0108,0.4086,0.0,1.5295
traces/621.wrf_s-6673B.champsimtrace.xz,Compute-Bound,1.0294,0.4259,0.0,1.1515
traces/641.leela_s-1083B.champsimtrace.xz,Compute-Bound,1.0506,0.3656,0.0,0.3
traces/641.leela_s-1052B.champsimtrace.xz,Compute-Bound,1.0635,0.3645,0.0,0.2827
traces/603.bwaves_s-2931B.champsimtrace.xz,Compute-Bound,1.0746,0.3247,0.0,2.7621
traces/641.leela_s-334B.champsimtrace.xz,Compute-Bound,1.077,0.3703,0.0,0.1402
traces/623.xalancbmk_s-202B.champsimtrace.xz,Compute-Bound,1.0802,0.393,0.0,1.4817
traces/641.leela_s-602B.champsimtrace.xz,Compute-Bound,1.0843,0.3771,0.0,0.0629
traces/654.roms_s-294B.champsimtrace.xz,Compute-Bound,1.0959,0.3675,0.0,0.1511
traces/607.cactuBSSN_s-2421B.champsimtrace.xz,Compute-Bound,1.105,0.2999,0.0,1.6918
traces/641.leela_s-862B.champsimtrace.xz,Compute-Bound,1.1091,0.3748,0.0,0.0506
traces/641.leela_s-149B.champsimtrace.xz,Compute-Bound,1.1097,0.386,0.0,0.0395
traces/600.perlbench_s-210B.champsimtrace.xz,Compute-Bound,1.1136,0.3457,0.0,0.1231
traces/600.perlbench_s-570B.champsimtrace.xz,Compute-Bound,1.1187,0.3453,0.0,0.1171
traces/641.leela_s-800B.champsimtrace.xz,Compute-Bound,1.1264,0.3785,0.0,0.053
traces/600.perlbench_s-1273B.champsimtrace.xz,Compute-Bound,1.1413,0.3463,0.0,0.0943
