Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/605.mcf_s-782B.champsimtrace.xz,Memory-Bound,0.1803,0.3105,60.3538,1.1874
traces/602.gcc_s-2226B.champsimtrace.xz,Memory-Bound,0.2963,0.2445,71.3781,2.3016
traces/605.mcf_s-1152B.champsimtrace.xz,Memory-Bound,0.3496,0.2889,21.174,0.8629
traces/605.mcf_s-484B.champsimtrace.xz,Memory-Bound,0.3915,0.2306,29.4827,2.6308
traces/649.fotonik3d_s-8225B.champsimtrace.xz,Memory-Bound,0.4096,0.2699,8.9237,3.0081
traces/649.fotonik3d_s-1176B.champsimtrace.xz,Memory-Bound,0.4102,0.2701,8.9067,3.1268
traces/605.mcf_s-994B.champsimtrace.xz,Memory-Bound,0.4166,0.2998,17.0069,1.425
traces/605.mcf_s-665B.champsimtrace.xz,Memory-Bound,0.463,0.2838,10.186,0.613
traces/605.mcf_s-1536B.champsimtrace.xz,Memory-Bound,0.4853,0.2679,15.0717,4.6426
traces/605.mcf_s-472B.champsimtrace.xz,Memory-Bound,0.4873,0.2098,8.2614,1.9891
traces/605.mcf_s-1554B.champsimtrace.xz,Compute-Bound,0.5196,0.2454,1.1024,3.227
traces/605.mcf_s-1644B.champsimtrace.xz,Memory-Bound,0.6055,0.2486,12.1748,4.8807
traces/620.omnetpp_s-141B.champsimtrace.xz,Compute-Bound,0.6338,0.2826,1.1467,0.8205
traces/620.omnetpp_s-874B.champsimtrace.xz,Compute-Bound,0.6622,0.2823,1.0227,0.7904
traces/649.fotonik3d_s-10881B.champsimtrace.xz,Memory-Bound,0.6781,0.2175,16.6535,0.742
traces/619.lbm_s-3766B.champsimtrace.xz,Memory-Bound,0.6857,0.3118,24.4134,10.9555
traces/619.lbm_s-2677B.champsimtrace.xz,Memory-Bound,0.7251,0.3344,21.4205,9.9193
traces/619.lbm_s-2676B.champsimtrace.xz,Memory-Bound,0.7251,0.3375,21.2847,9.7272
traces/619.lbm_s-4268B.champsimtrace.xz,Memory-Bound,0.7387,0.345,20.3573,9.4028
traces/649.fotonik3d_s-7084B.champsimtrace.xz,Memory-Bound,0.7435,0.2659,17.1824,0.9324
traces/654.roms_s-523B.champsimtrace.xz,Memory-Bound,0.7675,0.2668,7.0607,3.4055
traces/654.roms_s-1390B.champsimtrace.xz,Memory-Bound,0.7758,0.2571,11.7772,3.6762
traces/623.xalancbmk_s-10B.champsimtrace.xz,Compute-Bound,0.7887,0.3538,0.1074,2.0149
traces/602.gcc_s-1850B.champsimtrace.xz,Memory-Bound,0.7995,0.378,18.2167,1.4261
traces/603.bwaves_s-891B.champsimtrace.xz,Memory-Bound,0.8026,0.3118,20.6735,2.309
traces/603.bwaves_s-2609B.champsimtrace.xz,Memory-Bound,0.8516,0.2936,18.3551,1.731
traces/603.bwaves_s-1740B.champsimtrace.xz,Memory-Bound,0.8516,0.2936,18.3558,1.7314
traces/654.roms_s-293B.champsimtrace.xz,Memory-Bound,0.866,0.2851,9.2083,2.5595
traces/654.roms_s-1007B.champsimtrace.xz,Memory-Bound,0.8792,0.271,3.1119,0.3495
traces/654.roms_s-1070B.champsimtrace.xz,Memory-Bound,0.9171,0.3044,7.9006,1.9767
traces/644.nab_s-5853B.champsimtrace.xz,Compute-Bound,0.9368,0.3465,0.2021,0.0533
traces/623.xalancbmk_s-700B.champsimtrace.xz,Compute-Bound,0.9512,0.3006,0.1663,1.1064
traces/654.roms_s-1613B.champsimtrace.xz,Memory-Bound,0.9599,0.3385,4.9914,2.5763
traces/607.cactuBSSN_s-3477B.champsimtrace.xz,Compute-Bound,1.0023,0.2824,1.2616,1.0466
traces/607.cactuBSSN_s-4004B.champsimtrace.xz,Compute-Bound,1.0114,0.2807,1.2742,1.0643
traces/602.gcc_s-2375B.champsimtrace.xz,Compute-Bound,1.0179,0.3683,0.1895,0.2074
traces/623.xalancbmk_s-325B.champsimtrace.xz,Compute-Bound,1.0351,0.2895,0.3556,1.4103
traces/623.xalancbmk_s-592B.champsimtrace.xz,Compute-Bound,1.0389,0.2742,0.6844,2.4954
traces/654.roms_s-842B.champsimtrace.xz,Memory-Bound,1.0546,0.3841,3.3103,1.9512
traces/603.bwaves_s-2931B.champsimtrace.xz,Memory-Bound,1.0668,0.3221,13.2431,3.8996
traces/641.leela_s-1083B.champsimtrace.xz,Compute-Bound,1.0761,0.3662,0.06,0.1153
traces/641.leela_s-1052B.champsimtrace.xz,Compute-Bound,1.0883,0.365,0.0565,0.108
traces/641.leela_s-602B.champsimtrace.xz,Compute-Bound,1.089,0.3772,0.0058,0.038
traces/641.leela_s-334B.champsimtrace.xz,Compute-Bound,1.0903,0.3706,0.0201,0.07
traces/654.roms_s-294B.champsimtrace.xz,Memory-Bound,1.0919,0.3675,2.8829,0.1585
traces/641.leela_s-149B.champsimtrace.xz,Compute-Bound,1.1102,0.386,0.0046,0.0361
traces/641.leela_s-862B.champsimtrace.xz,Compute-Bound,1.1123,0.3748,0.0446,0.0443
traces/621.wrf_s-6673B.champsimtrace.xz,Compute-Bound,1.1165,0.4278,0.411,0.4879
traces/607.cactuBSSN_s-2421B.champsimtrace.xz,Memory-Bound,1.1171,0.2999,4.465,1.6957
traces/621.wrf_s-575B.champsimtrace.xz,Compute-Bound,1.1216,0.3601,0.9281,0.8884
traces/621.wrf_s-8100B.champsimtrace.xz,Compute-Bound,1.1255,0.4099,0.9543,0.8799
