Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/605.mcf_s-782B.champsimtrace.xz,Compute-Bound,0.121,0.3218,0.0,1.1419
traces/605.mcf_s-1554B.champsimtrace.xz,Compute-Bound,0.2567,0.2443,0.0,4.104
traces/605.mcf_s-1152B.champsimtrace.xz,Compute-Bound,0.2746,0.2914,0.0,0.9313
traces/605.mcf_s-1536B.champsimtrace.xz,Compute-Bound,0.2865,0.2682,0.0,3.7351
traces/605.mcf_s-665B.champsimtrace.xz,Compute-Bound,0.3566,0.2845,0.0,0.7681
traces/605.mcf_s-994B.champsimtrace.xz,Compute-Bound,0.3615,0.3,0.0,1.7282
traces/605.mcf_s-472B.champsimtrace.xz,Compute-Bound,0.3655,0.2102,0.0,2.1791
traces/623.xalancbmk_s-10B.champsimtrace.xz,Compute-Bound,0.3668,0.3516,0.0,3.2891
traces/605.mcf_s-484B.champsimtrace.xz,Compute-Bound,0.4066,0.2312,0.0,2.1527
traces/620.omnetpp_s-141B.champsimtrace.xz,Compute-Bound,0.4117,0.2819,0.0,1.5066
traces/620.omnetpp_s-874B.champsimtrace.xz,Compute-Bound,0.4371,0.2817,0.0,1.4539
traces/602.gcc_s-2226B.champsimtrace.xz,Compute-Bound,0.4405,0.2706,0.0,1.9379
traces/605.mcf_s-1644B.champsimtrace.xz,Compute-Bound,0.63,0.2528,0.0,3.2217
traces/649.fotonik3d_s-10881B.champsimtrace.xz,Compute-Bound,0.634,0.217,0.0,0.8895
traces/649.fotonik3d_s-7084B.champsimtrace.xz,Compute-Bound,0.6621,0.2653,0.0,1.0547
traces/654.roms_s-1007B.champsimtrace.xz,Compute-Bound,0.7129,0.2704,0.0,1.0123
traces/654.roms_s-1390B.champsimtrace.xz,Compute-Bound,0.7845,0.2586,0.0,3.1003
traces/649.fotonik3d_s-8225B.champsimtrace.xz,Compute-Bound,0.7876,0.2748,0.0,1.5243
traces/654.roms_s-523B.champsimtrace.xz,Compute-Bound,0.8137,0.2675,0.0,3.1129
traces/649.fotonik3d_s-1176B.champsimtrace.xz,Compute-Bound,0.8451,0.2776,0.0,1.2427
traces/619.lbm_s-3766B.champsimtrace.xz,Compute-Bound,0.8596,0.3172,0.0,11.8729
traces/607.cactuBSSN_s-2421B.champsimtrace.xz,Compute-Bound,0.8737,0.2998,0.0,3.1527
traces/603.bwaves_s-891B.champsimtrace.xz,Compute-Bound,0.8838,0.318,0.0,1.3442
traces/603.bwaves_s-2609B.champsimtrace.xz,Compute-Bound,0.8889,0.2958,0.0,0.85
traces/603.bwaves_s-1740B.champsimtrace.xz,Compute-Bound,0.8891,0.2959,0.0,0.8507
traces/654.roms_s-1070B.champsimtrace.xz,Compute-Bound,0.8997,0.3033,0.0,2.6142
traces/602.gcc_s-2375B.champsimtrace.xz,Compute-Bound,0.9088,0.3684,0.0,0.298
traces/602.gcc_s-1850B.champsimtrace.xz,Compute-Bound,0.9102,0.387,0.0,1.1646
traces/619.lbm_s-2677B.champsimtrace.xz,Compute-Bound,0.9175,0.3392,0.0,11.1131
traces/623.xalancbmk_s-700B.champsimtrace.xz,Compute-Bound,0.9206,0.3004,0.0,1.4106
traces/619.lbm_s-2676B.champsimtrace.xz,Compute-Bound,0.9215,0.3414,0.0,10.966
traces/654.roms_s-293B.champsimtrace.xz,Compute-Bound,0.9326,0.2883,0.0,2.4954
traces/644.nab_s-5853B.champsimtrace.xz,Compute-Bound,0.9344,0.3465,0.0,0.058
traces/619.lbm_s-4268B.champsimtrace.xz,Compute-Bound,0.9417,0.349,0.0,10.7123
traces/607.cactuBSSN_s-3477B.champsimtrace.xz,Compute-Bound,0.947,0.2826,0.0,1.3876
traces/654.roms_s-1613B.champsimtrace.xz,Compute-Bound,0.9515,0.3381,0.0,3.8088
traces/607.cactuBSSN_s-4004B.champsimtrace.xz,Compute-Bound,0.9542,0.2807,0.0,1.3504
traces/657.xz_s-2302B.champsimtrace.xz,Compute-Bound,0.9623,0.4302,0.0,0.6756
traces/623.xalancbmk_s-202B.champsimtrace.xz,Compute-Bound,0.9643,0.3889,0.0,1.7203
traces/621.wrf_s-575B.champsimtrace.xz,Compute-Bound,0.9791,0.3589,0.0,1.3369
traces/623.xalancbmk_s-325B.champsimtrace.xz,Compute-Bound,1.0105,0.2895,0.0,1.7179
traces/623.xalancbmk_s-592B.champsimtrace.xz,Compute-Bound,1.0227,0.2742,0.0,2.4335
traces/621.wrf_s-8065B.champsimtrace.xz,Compute-Bound,1.0238,0.4158,0.0,0.9979
traces/621.wrf_s-8100B.champsimtrace.xz,Compute-Bound,1.0346,0.4094,0.0,1.0095
traces/603.bwaves_s-2931B.champsimtrace.xz,Compute-Bound,1.0379,0.325,0.0,2.7284
traces/621.wrf_s-6673B.champsimtrace.xz,Compute-Bound,1.041,0.4265,0.0,0.8191
traces/654.roms_s-842B.champsimtrace.xz,Compute-Bound,1.056,0.3837,0.0,2.8051
traces/641.leela_s-1083B.champsimtrace.xz,Compute-Bound,1.0676,0.3659,0.0,0.2072
traces/641.leela_s-1052B.champsimtrace.xz,Compute-Bound,1.0799,0.3648,0.0,0.1926
traces/654.roms_s-294B.champsimtrace.xz,Compute-Bound,1.0809,0.3673,0.0,0.1652
traces/641.leela_s-334B.champsimtrace.xz,Compute-Bound,1.0853,0.3705,0.0,0.1084
traces/641.leela_s-602B.champsimtrace.xz,Compute-Bound,1.0866,0.3773,0.0,0.0533
traces/600.perlbench_s-210B.champsimtrace.xz,Compute-Bound,1.0975,0.3457,0.0,0.147
traces/600.perlbench_s-570B.champsimtrace.xz,Compute-Bound,1.104,0.3454,0.0,0.1398
