Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/605.mcf_s-782B.champsimtrace.xz,Memory-Bound,0.1837,0.3115,60.3579,1.1513
traces/602.gcc_s-2226B.champsimtrace.xz,Memory-Bound,0.2955,0.2622,71.378,2.3676
traces/605.mcf_s-1152B.champsimtrace.xz,Memory-Bound,0.3419,0.2894,21.1733,0.8723
traces/605.mcf_s-484B.champsimtrace.xz,Memory-Bound,0.4019,0.2309,29.4821,2.422
traces/605.mcf_s-994B.champsimtrace.xz,Memory-Bound,0.4123,0.2998,17.0049,1.4361
traces/605.mcf_s-665B.champsimtrace.xz,Memory-Bound,0.4543,0.2839,10.1861,0.6326
traces/605.mcf_s-472B.champsimtrace.xz,Memory-Bound,0.4946,0.2099,8.2614,1.8191
traces/649.fotonik3d_s-8225B.champsimtrace.xz,Memory-Bound,0.5008,0.2702,8.9237,2.72
traces/649.fotonik3d_s-1176B.champsimtrace.xz,Memory-Bound,0.502,0.2703,8.9067,2.8659
traces/605.mcf_s-1536B.champsimtrace.xz,Memory-Bound,0.5138,0.2682,15.0719,3.9956
traces/605.mcf_s-1554B.champsimtrace.xz,Compute-Bound,0.5196,0.2455,1.1024,3.2103
traces/620.omnetpp_s-141B.champsimtrace.xz,Compute-Bound,0.6302,0.2826,1.1519,0.8287
traces/620.omnetpp_s-874B.champsimtrace.xz,Compute-Bound,0.6576,0.2823,1.0206,0.7994
traces/649.fotonik3d_s-10881B.champsimtrace.xz,Memory-Bound,0.6957,0.2175,16.6532,0.6689
traces/605.mcf_s-1644B.champsimtrace.xz,Memory-Bound,0.7271,0.2487,12.1749,3.7523
traces/649.fotonik3d_s-7084B.champsimtrace.xz,Memory-Bound,0.7719,0.2659,17.1824,0.8388
traces/619.lbm_s-3766B.champsimtrace.xz,Memory-Bound,0.7863,0.3122,24.4151,10.2819
traces/623.xalancbmk_s-10B.champsimtrace.xz,Compute-Bound,0.7884,0.3538,0.1074,2.0188
traces/602.gcc_s-1850B.champsimtrace.xz,Memory-Bound,0.7887,0.3814,18.2167,1.4433
traces/603.bwaves_s-891B.champsimtrace.xz,Memory-Bound,0.8152,0.3117,20.6735,2.544
traces/654.roms_s-1390B.champsimtrace.xz,Memory-Bound,0.8187,0.2573,11.7764,3.2974
