Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/602.gcc_s-2226B.champsimtrace.xz,Memory-Bound,0.3158,0.2493,70.3495,2.3355
traces/605.mcf_s-782B.champsimtrace.xz,Memory-Bound,0.1944,0.3137,59.3097,1.0849
traces/605.mcf_s-484B.champsimtrace.xz,Memory-Bound,0.3519,0.2302,27.8708,2.6886
traces/619.lbm_s-3766B.champsimtrace.xz,Memory-Bound,0.6886,0.3131,24.2072,10.6798
traces/619.lbm_s-2677B.champsimtrace.xz,Memory-Bound,0.7295,0.3356,21.2376,9.6874
traces/619.lbm_s-2676B.champsimtrace.xz,Memory-Bound,0.7286,0.3382,21.1043,9.5091
traces/605.mcf_s-1152B.champsimtrace.xz,Memory-Bound,0.3789,0.29,20.816,0.7492
traces/603.bwaves_s-891B.champsimtrace.xz,Memory-Bound,0.7903,0.3143,20.3551,1.8595
traces/619.lbm_s-4268B.champsimtrace.xz,Memory-Bound,0.743,0.3458,20.1854,9.1948
traces/603.bwaves_s-1740B.champsimtrace.xz,Memory-Bound,0.8478,0.2956,18.0722,0.9806
traces/603.bwaves_s-2609B.champsimtrace.xz,Memory-Bound,0.848,0.2956,18.0714,0.9799
traces/602.gcc_s-1850B.champsimtrace.xz,Memory-Bound,0.7742,0.3821,17.9348,1.4355
traces/649.fotonik3d_s-10881B.champsimtrace.xz,Memory-Bound,0.5827,0.217,16.2051,1.0452
traces/649.fotonik3d_s-7084B.champsimtrace.xz,Memory-Bound,0.582,0.2651,15.9703,1.2361
traces/605.mcf_s-1536B.champsimtrace.xz,Memory-Bound,0.4144,0.2677,14.7896,4.5777
traces/603.bwaves_s-2931B.champsimtrace.xz,Memory-Bound,1.0355,0.3222,13.1177,3.8035
traces/605.mcf_s-1644B.champsimtrace.xz,Memory-Bound,0.6184,0.25,12.0343,5.2426
traces/654.roms_s-1390B.champsimtrace.xz,Memory-Bound,0.825,0.2576,11.7525,3.7349
traces/605.mcf_s-665B.champsimtrace.xz,Memory-Bound,0.4898,0.2843,10.0304,0.5359
traces/654.roms_s-293B.champsimtrace.xz,Memory-Bound,0.9285,0.2868,9.2682,2.4818
traces/605.mcf_s-994B.champsimtrace.xz,Memory-Bound,0.4285,0.2999,9.2505,1.3951
traces/649.fotonik3d_s-8225B.champsimtrace.xz,Memory-Bound,0.5213,0.2701,8.7866,2.672
traces/649.fotonik3d_s-1176B.champsimtrace.xz,Memory-Bound,0.616,0.2732,8.7702,2.209
traces/654.roms_s-1070B.champsimtrace.xz,Memory-Bound,0.9615,0.3068,7.8597,1.8051
traces/605.mcf_s-472B.champsimtrace.xz,Memory-Bound,0.4199,0.2097,7.7775,2.0775
traces/654.roms_s-523B.champsimtrace.xz,Memory-Bound,0.8452,0.2673,7.0659,3.4544
traces/654.roms_s-1613B.champsimtrace.xz,Memory-Bound,1.0129,0.3387,5.0073,2.53
traces/607.cactuBSSN_s-2421B.champsimtrace.xz,Memory-Bound,0.8636,0.3005,4.2814,2.8846
traces/654.roms_s-842B.champsimtrace.xz,Memory-Bound,1.0987,0.3842,3.3227,1.8789
traces/654.roms_s-1007B.champsimtrace.xz,Memory-Bound,0.7364,0.271,3.1,0.6131
traces/654.roms_s-294B.champsimtrace.xz,Memory-Bound,1.0795,0.3673,2.904,0.1721
traces/628.pop2_s-17B.champsimtrace.xz,Compute-Bound,1.4295,0.437,1.6475,2.4413
traces/627.cam4_s-490B.champsimtrace.xz,Compute-Bound,1.237,0.4024,1.5671,2.7081
