Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/600.perlbench_s-1273B.yaml --json results/1c/ddr5/champsim/600.perlbench_s-1273B.json traces/600.perlbench_s-1273B.champsimtrace.xz
2	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/600.perlbench_s-210B.yaml --json results/1c/ddr5/champsim/600.perlbench_s-210B.json traces/600.perlbench_s-210B.champsimtrace.xz
3	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/600.perlbench_s-570B.yaml --json results/1c/ddr5/champsim/600.perlbench_s-570B.json traces/600.perlbench_s-570B.champsimtrace.xz
4	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/602.gcc_s-1850B.yaml --json results/1c/ddr5/champsim/602.gcc_s-1850B.json traces/602.gcc_s-1850B.champsimtrace.xz
5	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/602.gcc_s-2226B.yaml --json results/1c/ddr5/champsim/602.gcc_s-2226B.json traces/602.gcc_s-2226B.champsimtrace.xz
6	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/602.gcc_s-2375B.yaml --json results/1c/ddr5/champsim/602.gcc_s-2375B.json traces/602.gcc_s-2375B.champsimtrace.xz
7	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/602.gcc_s-734B.yaml --json results/1c/ddr5/champsim/602.gcc_s-734B.json traces/602.gcc_s-734B.champsimtrace.xz
8	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-1080B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-1080B.json traces/603.bwaves_s-1080B.champsimtrace.xz
9	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-1740B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-1740B.json traces/603.bwaves_s-1740B.champsimtrace.xz
10	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-2609B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-2609B.json traces/603.bwaves_s-2609B.champsimtrace.xz
11	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-2931B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-2931B.json traces/603.bwaves_s-2931B.champsimtrace.xz
12	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-3699B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-3699B.json traces/603.bwaves_s-3699B.champsimtrace.xz
13	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-5359B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-5359B.json traces/603.bwaves_s-5359B.champsimtrace.xz
14	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-891B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-891B.json traces/603.bwaves_s-891B.champsimtrace.xz
15	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/605.mcf_s-1152B.yaml --json results/1c/ddr5/champsim/605.mcf_s-1152B.json traces/605.mcf_s-1152B.champsimtrace.xz
16	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/605.mcf_s-1536B.yaml --json results/1c/ddr5/champsim/605.mcf_s-1536B.json traces/605.mcf_s-1536B.champsimtrace.xz
17	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/605.mcf_s-1554B.yaml --json results/1c/ddr5/champsim/605.mcf_s-1554B.json traces/605.mcf_s-1554B.champsimtrace.xz
18	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/605.mcf_s-1644B.yaml --json results/1c/ddr5/champsim/605.mcf_s-1644B.json traces/605.mcf_s-1644B.champsimtrace.xz
19	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/605.mcf_s-472B.yaml --json results/1c/ddr5/champsim/605.mcf_s-472B.json traces/605.mcf_s-472B.champsimtrace.xz
20	:	1700000000.000	10.000	0	0	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/605.mcf_s-484B.yaml --json results/1c/ddr5/champsim/605.mcf_s-484B.json traces/605.mcf_s-484B.champsimtrace.xz
