Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
17	:	1790009759.608	  5543.375	0	34178	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-5359B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-5359B.json traces/603.bwaves_s-5359B.champsimtrace.xz
31	:	1790009759.640	  5577.274	0	34212	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/607.cactuBSSN_s-4248B.yaml --json results/1c/ddr5/champsim/607.cactuBSSN_s-4248B.json traces/607.cactuBSSN_s-4248B.champsimtrace.xz
16	:	1790009759.607	  5618.268	0	34152	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-3699B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-3699B.json traces/603.bwaves_s-3699B.champsimtrace.xz
12	:	1790009759.600	  6037.907	0	34168	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/603.bwaves_s-1080B.yaml --json results/1c/ddr5/champsim/603.bwaves_s-1080B.json traces/603.bwaves_s-1080B.champsimtrace.xz
48	:	1790009759.692	  6748.105	0	34225	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/625.x264_s-12B.yaml --json results/1c/ddr5/champsim/625.x264_s-12B.json traces/625.x264_s-12B.champsimtrace.xz
11	:	1790009759.598	  8127.736	0	34209	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/602.gcc_s-734B.yaml --json results/1c/ddr5/champsim/602.gcc_s-734B.json traces/602.gcc_s-734B.champsimtrace.xz
5	:	1790009759.588	  8217.082	0	34290	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/600.perlbench_s-1273B.yaml --json results/1c/ddr5/champsim/600.perlbench_s-1273B.json traces/600.perlbench_s-1273B.champsimtrace.xz
6	:	1790009759.589	  8316.983	0	34299	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/600.perlbench_s-210B.yaml --json results/1c/ddr5/champsim/600.perlbench_s-210B.json traces/600.perlbench_s-210B.champsimtrace.xz
7	:	1790009759.591	  8344.352	0	34295	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/600.perlbench_s-570B.yaml --json results/1c/ddr5/champsim/600.perlbench_s-570B.json traces/600.perlbench_s-570B.champsimtrace.xz
10	:	1790009759.596	  8405.055	0	34590	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/602.gcc_s-2375B.yaml --json results/1c/ddr5/champsim/602.gcc_s-2375B.json traces/602.gcc_s-2375B.champsimtrace.xz
39	:	1790009759.663	  8584.277	0	34481	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/621.wrf_s-6673B.yaml --json results/1c/ddr5/champsim/621.wrf_s-6673B.json traces/621.wrf_s-6673B.champsimtrace.xz
41	:	1790009759.668	  8691.973	0	34366	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/621.wrf_s-8100B.yaml --json results/1c/ddr5/champsim/621.wrf_s-8100B.json traces/621.wrf_s-8100B.champsimtrace.xz
40	:	1790009759.666	  8713.916	0	34526	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/621.wrf_s-8065B.yaml --json results/1c/ddr5/champsim/621.wrf_s-8065B.json traces/621.wrf_s-8065B.champsimtrace.xz
43	:	1790009759.674	  8763.868	0	34250	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/623.xalancbmk_s-165B.yaml --json results/1c/ddr5/champsim/623.xalancbmk_s-165B.json traces/623.xalancbmk_s-165B.champsimtrace.xz
45	:	1790009759.682	  9079.278	0	34479	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/623.xalancbmk_s-325B.yaml --json results/1c/ddr5/champsim/623.xalancbmk_s-325B.json traces/623.xalancbmk_s-325B.champsimtrace.xz
46	:	1790009759.685	  9197.615	0	34484	0	0	./bin/champsim_goldencove_1c_ddr5 --warmup-instructions 200000000 --ramulator-stats results/1c/ddr5/ramulator/623.xalancbmk_s-592B.yaml --json results/1c/ddr5/champsim/623.xalancbmk_s-592B.json traces/623.xalancbmk_s-592B.champsimtrace.xz
