Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/605.mcf_s-782B.champsimtrace.xz,Compute-Bound,0.0959,0.321,0.0,1.2318
traces/605.mcf_s-1152B.champsimtrace.xz,Compute-Bound,0.2097,0.2911,0.0,1.1069
traces/605.mcf_s-1554B.champsimtrace.xz,Compute-Bound,0.2837,0.2433,0.0,3.8385
traces/605.mcf_s-665B.champsimtrace.xz,Compute-Bound,0.2938,0.2844,0.0,0.9161
traces/605.mcf_s-1536B.champsimtrace.xz,Compute-Bound,0.3121,0.2683,0.0,3.6862
traces/605.mcf_s-994B.champsimtrace.xz,Compute-Bound,0.3552,0.2999,0.0,1.751
traces/623.xalancbmk_s-10B.champsimtrace.xz,Compute-Bound,0.4039,0.3541,0.0,3.1809
traces/620.omnetpp_s-141B.champsimtrace.xz,Compute-Bound,0.4043,0.2823,0.0,1.3952
traces/605.mcf_s-472B.champsimtrace.xz,Compute-Bound,0.4129,0.21,0.0,2.0554
traces/620.omnetpp_s-874B.champsimtrace.xz,Compute-Bound,0.4349,0.2819,0.0,1.3539
traces/602.gcc_s-2226B.champsimtrace.xz,Compute-Bound,0.4467,0.2646,0.0,2.0384
traces/605.mcf_s-484B.champsimtrace.xz,Compute-Bound,0.4492,0.2312,0.0,2.0458
traces/605.mcf_s-1644B.champsimtrace.xz,Compute-Bound,0.5971,0.2526,0.0,3.3084
traces/649.fotonik3d_s-10881B.champsimtrace.xz,Compute-Bound,0.6913,0.2174,0.0,0.6516
traces/649.fotonik3d_s-7084B.champsimtrace.xz,Compute-Bound,0.7729,0.266,0.0,0.8
traces/654.roms_s-1390B.champsimtrace.xz,Compute-Bound,0.7939,0.2569,0.0,3.2701
traces/654.roms_s-523B.champsimtrace.xz,Compute-Bound,0.8416,0.2665,0.0,3.119
traces/654.roms_s-1007B.champsimtrace.xz,Compute-Bound,0.8614,0.2705,0.0,0.6159
traces/619.lbm_s-3766B.champsimtrace.xz,Compute-Bound,0.8616,0.3173,0.0,11.9096
